brand,model,form_factor,has_microphone,is_wireless,type,color,price_usd,min_freq,max_freq,color_yellow,color_gray,color_orange,color_purple,color_beige,color_blue,color_pink,color_gold,color_amber,color_green,color_silver,color_gunmetal,color_black,color_red,color_white,color_brown,color_camo,color_copper,color_multicolor,brand_grouped,brand_encoded,price_cat
ADATA,EMIX H30 SE,0,1,0,0,Black / Red,88.98,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Other,17,1
ADATA,SOLOX F30+EMIX H30,0,1,0,0,Black / Red,59.0,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Other,17,1
ADATA,XPG Precog,1,1,0,0,Black / Red,99.99,5.0,50000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Other,17,1
AKG,K240 MKII,0,0,0,2,Black,119.95,15.0,25000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AKG,0,1
AKG,K271 MK II,0,0,0,0,Black / Silver,166.89,16.0,28000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,AKG,0,1
AKG,K271MKII,0,0,0,0,Black / Silver,166.89,16.0,28000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,AKG,0,1
AKG,K371-BT,0,1,1,0,Beige,178.8,5.0,40000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AKG,0,1
AKG,K490 NC,0,0,0,0,Black / Silver,244.45,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,AKG,0,2
AKG,K518LERED,0,0,0,0,Black / Red,49.99,16.0,24000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,AKG,0,1
AKG,K551SLV,0,1,0,0,Black / Silver,314.0,12.0,28000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,AKG,0,2
AKG,K551WHT,0,1,0,0,White,209.99,12.0,28000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,AKG,0,2
AKG,K553 PRO,0,0,0,0,Black,139.0,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AKG,0,1
AKG,K619BLK,0,1,0,0,Black,99.95,16.0,24000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AKG,0,1
AKG,K619BLU,0,1,0,0,Black / Blue,100.0,16.0,24000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,AKG,0,1
AKG,K619RED,0,1,0,0,Black / Red,100.0,16.0,24000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,AKG,0,1
AKG,K701,0,0,0,1,White,223.99,10.0,39800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,AKG,0,2
AKG,K702,0,0,0,1,Black / Silver,289.0,10.0,39800.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,AKG,0,2
ARCTIC,P301,0,1,0,0,Black / Silver,34.95,12.0,24000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Other,17,0
Acer,Predator Galea 300,0,1,0,0,Black,44.98,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Other,17,0
Acer,Predator Galea 311,0,1,0,0,Black,79.99,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Other,17,1
Acer,Predator Galea 350,0,1,0,0,Black,82.49,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Other,17,1
Acer,Predator Galea 500,0,1,0,0,Black,199.99,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Other,17,2
Adesso,Xtream G1,0,1,0,0,Black / Blue,40.05,20.0,20000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Adesso,1,0
Adesso,Xtream G2,0,1,0,0,Black / Silver,44.73,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Adesso,1,0
Adesso,Xtream G3,0,1,0,0,Black / Blue,46.68,15.0,20000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Adesso,1,1
Adesso,Xtream G4,0,1,0,0,Black / Silver,47.49,20.0,2000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Adesso,1,1
Adesso,Xtream H4,1,1,0,0,Black,12.23,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adesso,1,0
Adesso,Xtream H5,0,1,0,0,Black,18.05,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adesso,1,0
Astro,A30,1,1,0,0,Black / Red,189.0,15.0,28000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Astro,2,2
Astro,A38,1,1,1,0,White,22.49,15.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Astro,2,0
Astro,A38,1,1,1,0,Black / Blue,42.99,15.0,20000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Astro,2,0
Astro,A40,0,1,0,0,Black,325.0,15.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Astro,2,2
Astro,A40 + MIXAMP Pro,0,1,0,0,Black,245.0,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Astro,2,2
Astro,Gaming A10,0,1,0,0,Black / Green,49.0,20.0,20000.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Astro,2,1
Astro,Gaming A10,0,1,0,0,Black / Red,59.99,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Astro,2,1
Astro,Gaming A10,0,1,0,0,Black / Blue,49.0,20.0,20000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Astro,2,1
Astro,Gaming A20 Call of Duty,0,1,1,0,Silver / Black,139.99,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Astro,2,1
Astro,Gaming A40 TR + MixAmp Pro TR,0,1,0,0,White / Gray,249.99,20.0,24000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Astro,2,2
Astro,Gaming A40 TR + MixAmp Pro TR,0,1,0,0,White / Gray,249.99,20.0,20000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Astro,2,2
Astro,Gaming A40 TR + MixAmp Pro TR,0,1,0,0,Black / Gold,245.0,20.0,20000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Astro,2,2
Astro,Gaming A50 + Base Station,0,1,1,0,Green / Black,239.99,20.0,20000.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Astro,2,2
Asus,Orion,0,1,0,0,Black / Red,79.99,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Asus,3,1
Asus,ROG Delta,0,1,0,0,Black / Silver,141.99,20.0,40000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Asus,3,1
Asus,ROG Delta Core,0,1,0,0,Black,83.49,20.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Asus,3,1
Asus,ROG Delta White Edition,0,1,0,0,White,149.99,20.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Asus,3,1
Asus,ROG STRIX FUSION 700,0,1,1,0,Black,229.94,20.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Asus,3,2
Asus,ROG Strix Fusion Wireless,0,1,1,0,Black,192.99,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Asus,3,2
Asus,ROG Theta 7.1,0,1,0,0,Black,299.99,20.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Asus,3,2
Asus,STRIX PRO,0,1,0,0,Black / Orange,109.0,20.0,20000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Asus,3,1
Asus,TUF Gaming H3,0,1,0,0,Black,39.99,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Asus,3,0
Asus,TUF Gaming H5,0,1,0,0,Black / Gold,176.84,20.0,20000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Asus,3,1
Audio-Technica,ATH-AD500X,0,0,0,1,Black,89.99,5.0,25000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-AD700X,0,0,0,1,Black,119.99,5.0,30000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-AD900x,0,0,0,1,Black,133.99,5.0,35000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-ANC27X,0,0,0,0,Black,79.95,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-ANC9,0,0,0,0,Black,199.0,10.0,25000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,2
Audio-Technica,ATH-D40fs,0,0,0,0,Black,154.59,20.0,28000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-G1WL,0,1,1,0,Black,249.0,5.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,2
Audio-Technica,ATH-M30x,0,0,0,0,Black / Silver,69.0,15.0,22000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-M40x,0,0,0,0,Black / Silver,99.0,15.0,24000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-M50x,0,0,0,0,Black / Silver,149.0,15.0,28000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-M50xBT,0,1,1,0,Black / Silver,179.0,15.0,28000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Audio-Technica,4,2
Audio-Technica,ATH-M50xWH,0,0,0,0,White,169.0,15.0,28000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-MSR7BK,0,1,0,0,Black / Silver,249.95,5.0,40000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Audio-Technica,4,2
Audio-Technica,ATH-MSR7GM,0,1,0,0,Brown,249.95,5.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Audio-Technica,4,2
Audio-Technica,ATH-P1,1,0,0,2,Black,19.95,30.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,0
Audio-Technica,ATH-PDG1,0,1,0,1,Black / Red,88.56,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-PG1,0,1,0,0,Black / Gold,76.18,20.0,20000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-PRO500MK2BK,0,0,0,0,Black,274.99,10.0,30000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,2
Audio-Technica,ATH-PRO700MK2,0,0,0,0,Black,328.99,5.0,35000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,2
Audio-Technica,ATH-RE70BK,1,0,0,2,Black / Silver,79.98,10.0,24000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-SR30BTGY,0,1,1,0,White / Silver,69.0,5.0,35000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-SR50BTBK,0,1,1,0,Black,119.0,5.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-SR50BTBW,0,1,1,0,White / Silver,119.0,5.0,40000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Audio-Technica,4,1
Audio-Technica,ATH-WS55BK,0,0,0,0,Black,49.99,10.0,24000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Audio-Technica,4,1
Audiovox,WHP141B,0,0,1,0,Black,56.99,30.0,12500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Other,17,1
Avantree,Audition,0,0,1,0,Black / Red,49.99,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Other,17,1
Avantree,BTHS-AS9P-BLK,0,1,1,0,Black / Brown,69.98,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Other,17,1
Avermedia,SonicWave 7.1 GH337,0,1,0,0,Black / Red,79.98,20.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Other,17,1
Beyerdynamic,DT 770 PRO,0,0,0,0,Gray,159.0,5.0,35000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beyerdynamic,5,1
