brand,model,form_factor,frequency_response,has_microphone,is_wireless,type,color,price
1MORE,EHD9001TA,In Ear,,False,True,Closed,Black / Red,"['USD', '0.00']"
1MORE,Quad Driver,In Ear,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '124.23']"
1MORE,Triple Driver (Black/Gold),In Ear,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,False,Closed,Black / Gold,"['USD', '79.98']"
1MORE,Triple Driver (Silver),In Ear,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,False,Closed,Silver,"['USD', '67.98']"
1MORE,Triple Driver Lightning (Silver),In Ear,"{'min': 20.0, 'max': 40000.0, 'default': None}",True,False,Closed,Silver,"['USD', '84.95']"
A4Tech,G500,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
A4Tech,HU-111,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
A4Tech,L-610-1,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '0.00']"
A4Tech,MK-630P,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Pink / White,"['USD', '0.00']"
A4Tech,MK-650P,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Pink / Silver,"['USD', '0.00']"
ADATA,EMIX H30 SE,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '88.98']"
ADATA,EMIX I30,In Ear,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '98.38']"
ADATA,SOLOX F30+EMIX H30,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '59.00']"
ADATA,XPG EMIX H20,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
ADATA,XPG Precog,Supra-aural,"{'min': 5.0, 'max': 50000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '99.99']"
AKG,IP2,In Ear,"{'min': 12.0, 'max': 23500.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
AKG,K-495NC,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
AKG,K142HD,Circumaural,"{'min': 18.0, 'max': 24000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
AKG,K240 MKII,Circumaural,"{'min': 15.0, 'max': 25000.0, 'default': None}",False,False,Semi-open,Black,"['USD', '119.95']"
AKG,K242HD,Circumaural,"{'min': 15.0, 'max': 25000.0, 'default': None}",False,False,Semi-open,Black / Silver,"['USD', '0.00']"
AKG,K267 TIESTO,Circumaural,"{'min': 5.0, 'max': 30000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
AKG,K271 MK II,Circumaural,"{'min': 16.0, 'max': 28000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '166.89']"
AKG,K271MKII,Circumaural,"{'min': 16.0, 'max': 28000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '166.89']"
AKG,K272 HD,Circumaural,"{'min': 16.0, 'max': 28000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
AKG,K3003i,In Ear,"{'min': 10.0, 'max': 30000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
AKG,K326BLK,Earbud,"{'min': 17.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black,"['USD', '0.00']"
AKG,K326RED,Earbud,"{'min': 17.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
AKG,K326SNY,Earbud,"{'min': 17.0, 'max': 23000.0, 'default': None}",True,False,Closed,Black / Yellow,"['USD', '0.00']"
AKG,K328SBP,Earbud,"{'min': 13.0, 'max': 22500.0, 'default': None}",True,False,Closed,Black / Purple,"['USD', '0.00']"
AKG,K328SBR,Earbud,"{'min': 13.0, 'max': 22500.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '0.00']"
AKG,K350 CRM,In Ear,"{'min': 12.0, 'max': 23500.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '145.00']"
AKG,K350 WHT,In Ear,"{'min': 12.0, 'max': 23500.0, 'default': None}",True,False,Closed,White,"['USD', '0.00']"
AKG,K350AMA,In Ear,,False,False,Closed,Purple,"['USD', '0.00']"
AKG,K371-BT,Circumaural,"{'min': 5.0, 'max': 40000.0, 'default': None}",True,True,Closed,Beige,"['USD', '178.80']"
AKG,K374SLV,In Ear,"{'min': 10.0, 'max': 24000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '59.95']"
AKG,K391NC,In Ear,"{'min': 12.0, 'max': 24000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '194.95']"
AKG,K420BLU,Circumaural,"{'min': 13.0, 'max': 27000.0, 'default': None}",False,False,Semi-open,Black / Blue,"['USD', '0.00']"
AKG,K430WHT,Circumaural,"{'min': 12.0, 'max': 28000.0, 'default': None}",False,False,Closed,White,"['USD', '0.00']"
AKG,K451BLK,Supra-aural,"{'min': 11.0, 'max': 29500.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
AKG,K490 NC,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '244.45']"
AKG,K512 MKII,Circumaural,"{'min': 16.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black / Silver,"['USD', '0.00']"
AKG,K514 MKII,Supra-aural,"{'min': 16.0, 'max': 22000.0, 'default': None}",False,False,Closed,Gray / White,"['USD', '0.00']"
AKG,K518LE,Circumaural,"{'min': 16.0, 'max': 24000.0, 'default': None}",False,False,Closed,Black / Yellow,"['USD', '0.00']"
AKG,K518LERED,Circumaural,"{'min': 16.0, 'max': 24000.0, 'default': None}",False,False,Closed,Black / Red,"['USD', '49.99']"
AKG,K518LEWHT,Circumaural,"{'min': 16.0, 'max': 24000.0, 'default': None}",False,False,Closed,Black / White,"['USD', '0.00']"
AKG,K550,Circumaural,"{'min': 12.0, 'max': 28000.0, 'default': None}",False,False,Closed,Black,"['USD', '0.00']"
AKG,K551SLV,Circumaural,"{'min': 12.0, 'max': 28000.0, 'default': None}",True,False,Closed,Black / Silver,"['USD', '314.00']"
AKG,K551WHT,Circumaural,"{'min': 12.0, 'max': 28000.0, 'default': None}",True,False,Closed,White,"['USD', '209.99']"
AKG,K553 PRO,Circumaural,"{'min': 20.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black,"['USD', '139.00']"
AKG,K618 DJ,Supra-aural,,False,False,Closed,Black,"['USD', '0.00']"
AKG,K619BLK,Circumaural,"{'min': 16.0, 'max': 24000.0, 'default': None}",True,False,Closed,Black,"['USD', '99.95']"
AKG,K619BLU,Circumaural,"{'min': 16.0, 'max': 24000.0, 'default': None}",True,False,Closed,Black / Blue,"['USD', '100.00']"
AKG,K619RED,Circumaural,"{'min': 16.0, 'max': 24000.0, 'default': None}",True,False,Closed,Black / Red,"['USD', '100.00']"
AKG,K701,Circumaural,"{'min': 10.0, 'max': 39800.0, 'default': None}",False,False,Open,White,"['USD', '223.99']"
AKG,K702,Circumaural,"{'min': 10.0, 'max': 39800.0, 'default': None}",False,False,Open,Black / Silver,"['USD', '289.00']"
AKG,K712 PRO,Circumaural,"{'min': 10.0, 'max': 39800.0, 'default': None}",False,False,Open,Black / Orange,"['USD', '384.95']"
AKG,K830BT,Supra-aural,"{'min': 18.0, 'max': 20000.0, 'default': None}",False,False,Closed,Black,"['USD', '0.00']"
